Halo Gravity Traction Data Log. Starting Data Collection.

Data #, SetTension, Tension, MotorStatus
1, 15.00lbs, -0.05lbs, Applying Tension
SYSTEM STOP ---- EXCESSIVE WEIGHT. Data collection halted until restart.
2, 15.00lbs, 2.67lbs, Applying Tension
3, 15.00lbs, 6.22lbs, Applying Tension
4, 15.00lbs, 2.83lbs, Applying Tension
SYSTEM STOP ---- EXCESSIVE WEIGHT. Data collection halted until restart.
5, 15.00lbs, 3.61lbs, Applying Tension
6, 15.00lbs, 6.11lbs, Applying Tension
7, 15.00lbs, 6.28lbs, Applying Tension
8, 15.00lbs, 4.78lbs, Applying Tension
9, 15.00lbs, 4.27lbs, Applying Tension
10, 15.00lbs, 4.86lbs, Applying Tension
11, 15.00lbs, 5.01lbs, Applying Tension
12, 15.00lbs, 4.99lbs, Applying Tension
13, 15.00lbs, 9.23lbs, Applying Tension
14, 15.00lbs, 10.98lbs, Applying Tension
15, 15.00lbs, 13.28lbs, Applying Tension
16, 15.00lbs, 14.14lbs, Applying Tension
17, 15.00lbs, 15.15lbs, Holding
18, 15.00lbs, 15.02lbs, Holding
19, 15.00lbs, 14.79lbs, Holding
20, 15.00lbs, 14.56lbs, Holding
21, 15.00lbs, 14.39lbs, Holding
22, 15.00lbs, 14.26lbs, Holding
23, 15.00lbs, 14.12lbs, Holding
24, 15.00lbs, 14.03lbs, Holding
25, 15.00lbs, 13.96lbs, Holding
26, 15.00lbs, 13.86lbs, Holding
27, 15.00lbs, 13.80lbs, Holding
28, 15.00lbs, 13.73lbs, Holding
29, 15.00lbs, 13.71lbs, Holding
30, 15.00lbs, 13.66lbs, Holding
31, 15.00lbs, 13.62lbs, Holding
32, 15.00lbs, 13.57lbs, Holding
33, 15.00lbs, 13.52lbs, Holding
34, 15.00lbs, 13.46lbs, Holding
35, 15.00lbs, 14.57lbs, Applying Tension
36, 15.00lbs, 15.24lbs, Holding
37, 15.00lbs, 15.29lbs, Holding
38, 15.00lbs, 15.12lbs, Holding
39, 15.00lbs, 15.03lbs, Holding
40, 15.00lbs, 14.93lbs, Holding
41, 15.00lbs, 14.84lbs, Holding
42, 15.00lbs, 14.81lbs, Holding
43, 15.00lbs, 14.71lbs, Holding
