Halo Gravity Traction Data Log. Starting Data Collection.

Data #, SetTension, Tension, MotorStatus
50401, 15.00lbs, 13.71lbs, Holding
50402, 15.00lbs, 13.75lbs, Holding
50403, 15.00lbs, 13.73lbs, Holding
50404, 15.00lbs, 13.72lbs, Holding
50405, 15.00lbs, 13.72lbs, Holding
50406, 15.00lbs, 13.69lbs, Holding
50407, 15.00lbs, 13.72lbs, Holding
50408, 15.00lbs, 13.73lbs, Holding
50409, 15.00lbs, 13.76lbs, Holding
50410, 15.00lbs, 13.74lbs, Holding
50411, 15.00lbs, 13.74lbs, Holding
50412, 15.00lbs, 13.72lbs, Holding
50413, 15.00lbs, 13.72lbs, Holding
50414, 15.00lbs, 13.73lbs, Holding
50415, 15.00lbs, 13.71lbs, Holding
50416, 15.00lbs, 13.71lbs, Holding
50417, 15.00lbs, 13.73lbs, Holding
50418, 15.00lbs, 13.71lbs, Holding
50419, 15.00lbs, 13.70lbs, Holding
50420, 15.00lbs, 13.71lbs, Holding
50421, 15.00lbs, 13.73lbs, Holding
50422, 15.00lbs, 13.76lbs, Holding
50423, 15.00lbs, 13.76lbs, Holding
50424, 15.00lbs, 13.72lbs, Holding
50425, 15.00lbs, 13.73lbs, Holding
50426, 15.00lbs, 13.71lbs, Holding
50427, 15.00lbs, 13.72lbs, Holding
50428, 15.00lbs, 13.72lbs, Holding
50429, 15.00lbs, 13.72lbs, Holding
50430, 15.00lbs, 13.70lbs, Holding
50431, 15.00lbs, 13.68lbs, Holding
50432, 15.00lbs, 13.68lbs, Holding
50433, 15.00lbs, 13.73lbs, Holding
50434, 15.00lbs, 13.77lbs, Holding
50435, 15.00lbs, 13.75lbs, Holding
50436, 15.00lbs, 13.75lbs, Holding
50437, 15.00lbs, 13.76lbs, Holding
50438, 15.00lbs, 13.73lbs, Holding
50439, 15.00lbs, 13.74lbs, Holding
50440, 15.00lbs, 13.76lbs, Holding
50441, 15.00lbs, 13.78lbs, Holding
50442, 15.00lbs, 13.77lbs, Holding
50443, 15.00lbs, 13.77lbs, Holding
50444, 15.00lbs, 13.74lbs, Holding
50445, 15.00lbs, 13.72lbs, Holding
50446, 15.00lbs, 13.74lbs, Holding
50447, 15.00lbs, 13.72lbs, Holding
50448, 15.00lbs, 13.73lbs, Holding
50449, 15.00lbs, 13.70lbs, Holding
50450, 15.00lbs, 13.73lbs, Holding
50451, 15.00lbs, 13.71lbs, Holding
50452, 15.00lbs, 13.71lbs, Holding
50453, 15.00lbs, 13.74lbs, Holding
50454, 15.00lbs, 13.72lbs, Holding
50455, 15.00lbs, 13.74lbs, Holding
50456, 15.00lbs, 13.74lbs, Holding
50457, 15.00lbs, 13.76lbs, Holding
50458, 15.00lbs, 13.73lbs, Holding
50459, 15.00lbs, 13.73lbs, Holding
50460, 15.00lbs, 13.73lbs, Holding
50461, 15.00lbs, 13.70lbs, Holding
50462, 15.00lbs, 13.72lbs, Holding
50463, 15.00lbs, 13.76lbs, Holding
50464, 15.00lbs, 13.76lbs, Holding
50465, 15.00lbs, 13.76lbs, Holding
50466, 15.00lbs, 13.76lbs, Holding
50467, 15.00lbs, 13.75lbs, Holding
50468, 15.00lbs, 13.73lbs, Holding
50469, 15.00lbs, 13.74lbs, Holding
50470, 15.00lbs, 13.74lbs, Holding
50471, 15.00lbs, 13.70lbs, Holding
50472, 15.00lbs, 13.71lbs, Holding
50473, 15.00lbs, 13.74lbs, Holding
50474, 15.00lbs, 13.76lbs, Holding
50475, 15.00lbs, 13.76lbs, Holding
50476, 15.00lbs, 13.76lbs, Holding
50477, 15.00lbs, 13.75lbs, Holding
50478, 15.00lbs, 13.72lbs, Holding
50479, 15.00lbs, 13.73lbs, Holding
50480, 15.00lbs, 13.69lbs, Holding
50481, 15.00lbs, 13.72lbs, Holding
50482, 15.00lbs, 13.74lbs, Holding
50483, 15.00lbs, 13.73lbs, Holding
50484, 15.00lbs, 13.72lbs, Holding
50485, 15.00lbs, 13.74lbs, Holding
50486, 15.00lbs, 13.72lbs, Holding
50487, 15.00lbs, 13.70lbs, Holding
50488, 15.00lbs, 13.71lbs, Holding
50489, 15.00lbs, 13.71lbs, Holding
50490, 15.00lbs, 13.75lbs, Holding
50491, 15.00lbs, 13.74lbs, Holding
50492, 15.00lbs, 13.74lbs, Holding
50493, 15.00lbs, 13.73lbs, Holding
50494, 15.00lbs, 13.71lbs, Holding
50495, 15.00lbs, 13.76lbs, Holding
50496, 15.00lbs, 13.72lbs, Holding
50497, 15.00lbs, 13.73lbs, Holding
50498, 15.00lbs, 13.73lbs, Holding
50499, 15.00lbs, 13.77lbs, Holding
50500, 15.00lbs, 13.74lbs, Holding
50501, 15.00lbs, 13.75lbs, Holding
50502, 15.00lbs, 13.75lbs, Holding
50503, 15.00lbs, 13.72lbs, Holding
50504, 15.00lbs, 13.74lbs, Holding
50505, 15.00lbs, 13.74lbs, Holding
50506, 15.00lbs, 13.74lbs, Holding
50507, 15.00lbs, 13.74lbs, Holding
50508, 15.00lbs, 13.75lbs, Holding
50509, 15.00lbs, 13.76lbs, Holding
50510, 15.00lbs, 13.75lbs, Holding
50511, 15.00lbs, 13.74lbs, Holding
50512, 15.00lbs, 13.74lbs, Holding
50513, 15.00lbs, 13.76lbs, Holding
50514, 15.00lbs, 13.78lbs, Holding
50515, 15.00lbs, 13.75lbs, Holding
50516, 15.00lbs, 13.76lbs, Holding
50517, 15.00lbs, 13.75lbs, Holding
50518, 15.00lbs, 13.76lbs, Holding
50519, 15.00lbs, 13.73lbs, Holding
50520, 15.00lbs, 13.74lbs, Holding
50521, 15.00lbs, 13.74lbs, Holding
50522, 15.00lbs, 13.75lbs, Holding
50523, 15.00lbs, 13.75lbs, Holding
50524, 15.00lbs, 13.72lbs, Holding
50525, 15.00lbs, 13.71lbs, Holding
50526, 15.00lbs, 13.75lbs, Holding
50527, 15.00lbs, 13.72lbs, Holding
50528, 15.00lbs, 13.73lbs, Holding
50529, 15.00lbs, 13.75lbs, Holding
50530, 15.00lbs, 13.75lbs, Holding
50531, 15.00lbs, 13.72lbs, Holding
50532, 15.00lbs, 13.71lbs, Holding
50533, 15.00lbs, 13.74lbs, Holding
50534, 15.00lbs, 13.75lbs, Holding
50535, 15.00lbs, 13.73lbs, Holding
50536, 15.00lbs, 13.75lbs, Holding
50537, 15.00lbs, 13.75lbs, Holding
50538, 15.00lbs, 13.76lbs, Holding
50539, 15.00lbs, 13.75lbs, Holding
50540, 15.00lbs, 13.75lbs, Holding
50541, 15.00lbs, 13.75lbs, Holding
50542, 15.00lbs, 13.73lbs, Holding
50543, 15.00lbs, 13.74lbs, Holding
50544, 15.00lbs, 13.73lbs, Holding
50545, 15.00lbs, 13.76lbs, Holding
50546, 15.00lbs, 13.73lbs, Holding
50547, 15.00lbs, 13.70lbs, Holding
50548, 15.00lbs, 13.72lbs, Holding
50549, 15.00lbs, 13.73lbs, Holding
50550, 15.00lbs, 13.74lbs, Holding
50551, 15.00lbs, 13.76lbs, Holding
50552, 15.00lbs, 13.75lbs, Holding
50553, 15.00lbs, 13.74lbs, Holding
50554, 15.00lbs, 13.74lbs, Holding
50555, 15.00lbs, 13.76lbs, Holding
50556, 15.00lbs, 13.76lbs, Holding
50557, 15.00lbs, 13.75lbs, Holding
50558, 15.00lbs, 13.76lbs, Holding
50559, 15.00lbs, 13.75lbs, Holding
50560, 15.00lbs, 13.71lbs, Holding
50561, 15.00lbs, 13.71lbs, Holding
50562, 15.00lbs, 13.73lbs, Holding
50563, 15.00lbs, 13.73lbs, Holding
50564, 15.00lbs, 13.73lbs, Holding
50565, 15.00lbs, 13.72lbs, Holding
50566, 15.00lbs, 13.72lbs, Holding
50567, 15.00lbs, 13.75lbs, Holding
50568, 15.00lbs, 13.74lbs, Holding
50569, 15.00lbs, 13.73lbs, Holding
50570, 15.00lbs, 13.72lbs, Holding
50571, 15.00lbs, 13.74lbs, Holding
50572, 15.00lbs, 13.73lbs, Holding
50573, 15.00lbs, 13.74lbs, Holding
50574, 15.00lbs, 13.71lbs, Holding
50575, 15.00lbs, 13.73lbs, Holding
50576, 15.00lbs, 13.73lbs, Holding
50577, 15.00lbs, 13.72lbs, Holding
50578, 15.00lbs, 13.74lbs, Holding
50579, 15.00lbs, 13.73lbs, Holding
50580, 15.00lbs, 13.74lbs, Holding
50581, 15.00lbs, 13.73lbs, Holding
50582, 15.00lbs, 13.75lbs, Holding
50583, 15.00lbs, 13.73lbs, Holding
50584, 15.00lbs, 13.74lbs, Holding
50585, 15.00lbs, 13.73lbs, Holding
50586, 15.00lbs, 13.74lbs, Holding
50587, 15.00lbs, 13.74lbs, Holding
50588, 15.00lbs, 13.71lbs, Holding
